,ID1,ID2,Relation
0,capec122,capec1,ParentOf
1,capec1,capec17,CanPrecede
2,capec100,capec10,ParentOf
3,capec123,capec100,ParentOf
4,capec253,capec101,ParentOf
5,capec101,capec600,CanPrecede
6,capec593,capec102,ParentOf
7,capec173,capec103,ParentOf
8,capec233,capec104,ParentOf
9,capec220,capec105,ParentOf
10,capec105,capec34,PeerOf
11,capec105,capec115,CanPrecede
12,capec105,capec141,CanPrecede
13,capec105,capec63,CanPrecede
14,capec105,capec593,CanPrecede
15,capec105,capec148,CanPrecede
16,capec105,capec154,CanPrecede
17,capec593,capec107,ParentOf
18,capec66,capec108,ParentOf
19,capec66,capec109,ParentOf
20,capec635,capec11,ParentOf
21,capec66,capec110,ParentOf
22,capec110,capec108,CanPrecede
23,capec212,capec111,ParentOf
24,capec116,capec163,CanPrecede
25,capec12,capec21,PeerOf
26,capec216,capec12,ParentOf
27,capec267,capec120,ParentOf
28,capec113,capec121,ParentOf
29,capec122,capec664,CanPrecede
30,capec153,capec126,ParentOf
31,capec126,capec664,CanPrecede
32,capec54,capec127,ParentOf
33,capec153,capec128,ParentOf
34,capec77,capec13,ParentOf
35,capec13,capec14,CanPrecede
36,capec13,capec10,PeerOf
37,capec159,capec132,ParentOf
38,capec113,capec133,ParentOf
39,capec137,capec134,ParentOf
40,capec137,capec135,ParentOf
41,capec248,capec136,ParentOf
42,capec137,capec138,ParentOf
43,capec126,capec139,ParentOf
44,capec100,capec14,ParentOf
45,capec74,capec140,ParentOf
46,capec161,capec141,ParentOf
47,capec141,capec142,ParentOf
48,capec142,capec89,CanPrecede
49,capec150,capec143,ParentOf
50,capec150,capec144,ParentOf
51,capec148,capec145,ParentOf
52,capec271,capec146,ParentOf
53,capec528,capec147,ParentOf
54,capec497,capec149,ParentOf
55,capec149,capec155,CanPrecede
56,capec137,capec15,ParentOf
57,capec116,capec150,ParentOf
58,capec150,capec155,ParentOf
59,capec117,capec157,ParentOf
60,capec157,capec652,CanPrecede
61,capec157,capec158,ParentOf
62,capec154,capec159,ParentOf
63,capec159,capec185,CanPrecede
64,capec49,capec16,ParentOf
65,capec16,capec600,CanPrecede
66,capec16,capec151,CanPrecede
67,capec16,capec560,CanPrecede
68,capec16,capec561,CanPrecede
69,capec16,capec653,CanPrecede
70,capec113,capec160,ParentOf
71,capec161,capec664,CanPrecede
72,capec77,capec162,ParentOf
73,capec98,capec163,ParentOf
74,capec98,capec164,ParentOf
75,capec161,capec166,ParentOf
76,capec188,capec167,ParentOf
77,capec636,capec168,ParentOf
78,capec122,capec17,ParentOf
79,capec17,capec233,CanPrecede
80,capec541,capec170,ParentOf
81,capec182,capec174,ParentOf
82,capec174,capec63,CanPrecede
83,capec174,capec178,CanPrecede
84,capec17,capec177,ParentOf
85,capec182,capec178,ParentOf
86,capec554,capec179,ParentOf
87,capec591,capec18,ParentOf
88,capec592,capec18,ParentOf
89,capec588,capec18,ParentOf
90,capec122,capec180,ParentOf
91,capec180,capec17,CanPrecede
92,capec103,capec181,ParentOf
93,capec137,capec182,ParentOf
94,capec248,capec183,ParentOf
95,capec184,capec185,ParentOf
96,capec185,capec662,CanPrecede
97,capec184,capec186,ParentOf
98,capec98,capec186,CanPrecede
99,capec186,capec187,ParentOf
100,capec188,capec189,ParentOf
101,capec242,capec19,ParentOf
102,capec167,capec190,ParentOf
103,capec167,capec191,ParentOf
104,capec253,capec193,ParentOf
105,capec151,capec194,ParentOf
106,capec194,capec657,CanPrecede
107,capec194,capec667,CanPrecede
108,capec151,capec195,ParentOf
109,capec196,capec384,CanPrecede
110,capec196,capec61,CanPrecede
111,capec21,capec196,ParentOf
112,capec230,capec197,ParentOf
113,capec591,capec198,ParentOf
114,capec592,capec198,ParentOf
115,capec588,capec198,ParentOf
116,capec591,capec199,ParentOf
117,capec592,capec199,ParentOf
118,capec588,capec199,ParentOf
119,capec212,capec2,ParentOf
120,capec112,capec20,ParentOf
121,capec20,capec668,CanPrecede
122,capec207,capec200,ParentOf
123,capec122,capec201,ParentOf
124,capec278,capec201,ParentOf
125,capec22,capec202,ParentOf
126,capec176,capec203,ParentOf
127,capec167,capec204,ParentOf
128,capec204,capec560,CanPrecede
129,capec444,capec206,ParentOf
130,capec22,capec207,ParentOf
131,capec207,capec208,ParentOf
132,capec592,capec209,ParentOf
133,capec54,capec215,ParentOf
134,capec28,capec215,ParentOf
135,capec216,capec94,CanPrecede
136,capec216,capec217,ParentOf
137,capec148,capec218,ParentOf
138,capec94,capec219,ParentOf
139,capec272,capec220,ParentOf
140,capec231,capec221,ParentOf
141,capec278,capec221,ParentOf
142,capec103,capec222,ParentOf
